freq,psd_x,psd_y,psd_z,psd_xyz
0.0,7.588e+01,3.915e+03,9.699e+01,4.088e+03
1.6,3.775e+02,2.530e+04,4.380e+02,2.612e+04
3.2,4.450e+02,8.887e+03,4.757e+02,9.807e+03
4.7,4.508e+02,3.657e+03,4.674e+02,4.575e+03
6.3,4.559e+02,3.065e+03,4.682e+02,3.989e+03
7.9,4.351e+02,3.146e+03,4.332e+02,4.014e+03
9.5,4.322e+02,3.936e+03,4.011e+02,4.769e+03
11.1,4.347e+02,4.581e+03,4.543e+02,5.470e+03
12.6,4.383e+02,5.305e+03,4.224e+02,6.166e+03
14.2,4.655e+02,6.067e+03,3.913e+02,6.923e+03
15.8,4.788e+02,7.775e+03,3.942e+02,8.648e+03
17.4,4.969e+02,8.942e+03,4.009e+02,9.840e+03
19.0,4.862e+02,1.087e+04,4.210e+02,1.178e+04
20.5,4.744e+02,1.308e+04,4.281e+02,1.398e+04
22.1,4.924e+02,1.669e+04,4.439e+02,1.762e+04
23.7,4.789e+02,1.978e+04,4.491e+02,2.071e+04
25.3,4.463e+02,2.312e+04,4.509e+02,2.402e+04
26.9,4.574e+02,2.830e+04,4.619e+02,2.922e+04
28.4,4.943e+02,3.097e+04,4.806e+02,3.195e+04
30.0,4.998e+02,3.449e+04,5.222e+02,3.551e+04
31.6,4.610e+02,4.246e+04,5.152e+02,4.343e+04
33.2,3.930e+02,5.211e+04,6.007e+02,5.310e+04
34.8,3.809e+02,6.327e+04,7.002e+02,6.435e+04
36.3,4.589e+02,7.450e+04,7.705e+02,7.573e+04
37.9,5.933e+02,8.677e+04,6.511e+02,8.801e+04
39.5,6.111e+02,1.075e+05,5.815e+02,1.087e+05
41.1,6.228e+02,1.358e+05,6.938e+02,1.371e+05
42.7,7.196e+02,1.748e+05,8.834e+02,1.764e+05
44.2,8.713e+02,2.283e+05,1.187e+03,2.304e+05
45.8,9.988e+02,3.134e+05,1.679e+03,3.161e+05
47.4,1.288e+03,4.458e+05,2.629e+03,4.497e+05
49.0,1.533e+03,5.561e+05,4.806e+03,5.624e+05
50.6,1.139e+03,6.666e+05,7.856e+03,6.755e+05
52.1,8.259e+02,7.817e+05,1.120e+04,7.937e+05
53.7,1.187e+03,8.748e+05,1.410e+04,8.901e+05
55.3,2.469e+03,8.939e+05,1.528e+04,9.117e+05
56.9,2.464e+03,8.529e+05,1.868e+04,8.741e+05
58.5,1.654e+03,8.112e+05,2.247e+04,8.353e+05
60.0,2.268e+03,7.238e+05,2.375e+04,7.498e+05
61.6,3.395e+03,6.309e+05,2.280e+04,6.571e+05
63.2,5.196e+03,6.109e+05,2.326e+04,6.393e+05
64.8,8.180e+03,5.924e+05,2.315e+04,6.237e+05
66.4,1.011e+04,5.118e+05,1.845e+04,5.404e+05
67.9,1.021e+04,4.412e+05,1.300e+04,4.644e+05
69.5,1.003e+04,4.108e+05,9.939e+03,4.308e+05
71.1,9.228e+03,3.568e+05,8.286e+03,3.743e+05
72.7,8.024e+03,2.946e+05,6.761e+03,3.094e+05
74.3,7.394e+03,2.590e+05,6.026e+03,2.724e+05
75.8,7.185e+03,2.326e+05,5.951e+03,2.457e+05
77.4,6.444e+03,1.977e+05,5.599e+03,2.098e+05
79.0,5.686e+03,1.743e+05,5.128e+03,1.851e+05
80.6,5.760e+03,1.583e+05,4.255e+03,1.683e+05
82.2,5.705e+03,1.362e+05,4.755e+03,1.467e+05
83.7,3.851e+03,1.157e+05,8.885e+03,1.284e+05
85.3,2.293e+03,1.072e+05,1.279e+04,1.222e+05
86.9,1.741e+03,1.020e+05,1.586e+04,1.196e+05
88.5,1.268e+03,8.921e+04,1.558e+04,1.061e+05
90.1,1.027e+03,8.095e+04,1.366e+04,9.564e+04
91.6,8.821e+02,7.258e+04,1.103e+04,8.450e+04
93.2,9.156e+02,6.619e+04,1.017e+04,7.728e+04
94.8,1.087e+03,6.663e+04,1.007e+04,7.779e+04
96.4,1.170e+03,6.661e+04,6.780e+03,7.456e+04
98.0,1.213e+03,6.421e+04,4.778e+03,7.020e+04
99.5,1.177e+03,5.903e+04,4.846e+03,6.505e+04
101.1,1.061e+03,5.496e+04,5.325e+03,6.135e+04
102.7,9.582e+02,5.344e+04,5.297e+03,5.969e+04
104.3,9.299e+02,4.790e+04,4.869e+03,5.370e+04
105.9,9.320e+02,4.252e+04,4.796e+03,4.824e+04
107.4,9.778e+02,4.199e+04,4.880e+03,4.785e+04
109.0,9.383e+02,3.923e+04,4.741e+03,4.491e+04
110.6,9.561e+02,3.443e+04,4.505e+03,3.989e+04
112.2,9.026e+02,3.352e+04,4.575e+03,3.900e+04
113.8,7.190e+02,3.338e+04,4.966e+03,3.906e+04
115.3,5.967e+02,3.106e+04,5.793e+03,3.745e+04
116.9,6.188e+02,2.704e+04,6.837e+03,3.450e+04
118.5,5.847e+02,2.585e+04,8.334e+03,3.477e+04
120.1,6.389e+02,2.640e+04,9.702e+03,3.675e+04
